"Town","FIPS","Year","Variable","Measure Type","Value"
"Warren","0900579510",2016,"Total Grand List","Number",363890670
"Washington","0900579720",2016,"Net Grand List","Number",1112601752
"Washington","0900579720",2016,"Top 10 Total Grand List","Number",0
"Washington","0900579720",2016,"Total Grand List","Number",1114922662
"Waterbury","0900980070",2016,"Net Grand List","Number",4143210535
"Waterbury","0900980070",2016,"Top 10 Total Grand List","Number",477937669
"Waterbury","0900980070",2016,"Total Grand List","Number",4345176065
"Waterford","0901180280",2013,"Net Grand List","Number",-6666
"Waterford","0901180280",2013,"Top 10 Total Grand List","Number",-6666
"Waterford","0901180280",2013,"Total Grand List","Number",-6666
"Watertown","0900580490",2011,"Net Grand List","Number",-6666
"Watertown","0900580490",2011,"Top 10 Total Grand List","Number",-6666
"Watertown","0900580490",2011,"Total Grand List","Number",-6666
"Westbrook","0900781680",2015,"Net Grand List","Number",1136029532
"Westbrook","0900781680",2015,"Top 10 Total Grand List","Number",107904790
"Westbrook","0900781680",2015,"Total Grand List","Number",1183001292
"West Hartford","0900382590",2016,"Net Grand List","Number",6240412461
"West Hartford","0900382590",2016,"Top 10 Total Grand List","Number",329781210
"West Hartford","0900382590",2016,"Total Grand List","Number",7181489000
"West Haven","0900982870",2014,"Net Grand List","Number",2853950725
"West Haven","0900982870",2014,"Top 10 Total Grand List","Number",105170590
"West Haven","0900982870",2014,"Total Grand List","Number",2901442209
"Weston","0900183430",2016,"Net Grand List","Number",2372862954
"Weston","0900183430",2016,"Top 10 Total Grand List","Number",75786240
"Weston","0900183430",2016,"Total Grand List","Number",2374554024
"Westport","0900183500",2015,"Net Grand List","Number",1279189398
"Westport","0900183500",2015,"Top 10 Total Grand List","Number",36286064
"Westport","0900183500",2015,"Total Grand List","Number",1302940302
"Wethersfield","0900384900",2016,"Net Grand List","Number",2242958976
"Wethersfield","0900384900",2016,"Top 10 Total Grand List","Number",114092290
"Wethersfield","0900384900",2016,"Total Grand List","Number",2451633166
"Willington","0901385950",2016,"Net Grand List","Number",437877630
"Willington","0901385950",2016,"Top 10 Total Grand List","Number",61582790
"Willington","0901385950",2016,"Total Grand List","Number",440924010
"Wilton","0900186370",2014,"Net Grand List","Number",4296785600
"Wilton","0900186370",2014,"Top 10 Total Grand List","Number",433041850
"Wilton","0900186370",2014,"Total Grand List","Number",4352260300
"Winchester","0900586440",2014,"Net Grand List","Number",692625587
"Winchester","0900586440",2014,"Top 10 Total Grand List","Number",0
"Winchester","0900586440",2014,"Total Grand List","Number",716583502
"Windham","0901586790",2016,"Net Grand List","Number",887904818
"Windham","0901586790",2016,"Top 10 Total Grand List","Number",92858490
"Windham","0901586790",2016,"Total Grand List","Number",1574043
"Windsor","0900387000",2016,"Net Grand List","Number",2886746036
"Windsor","0900387000",2016,"Top 10 Total Grand List","Number",479727417
"Windsor","0900387000",2016,"Total Grand List","Number",3012443703
"Windsor Locks","0900387070",2013,"Net Grand List","Number",-6666
"Windsor Locks","0900387070",2013,"Top 10 Total Grand List","Number",-6666
"Windsor Locks","0900387070",2013,"Total Grand List","Number",-6666
"Wolcott","0900987560",2014,"Net Grand List","Number",1271057987
"Wolcott","0900987560",2014,"Top 10 Total Grand List","Number",32531393
"Wolcott","0900987560",2014,"Total Grand List","Number",1292247197
"Woodbridge","0900987700",2015,"Net Grand List","Number",1139061800
"Woodbridge","0900987700",2015,"Top 10 Total Grand List","Number",68109430
"Woodbridge","0900987700",2015,"Total Grand List","Number",1142773230
"Woodbury","0900587910",2016,"Net Grand List","Number",1058340726
"Woodbury","0900587910",2016,"Top 10 Total Grand List","Number",50704530
"Woodbury","0900587910",2016,"Total Grand List","Number",1133760443
"Woodstock","0901588190",2016,"Net Grand List","Number",711140263
"Woodstock","0901588190",2016,"Top 10 Total Grand List","Number",33047080
"Woodstock","0901588190",2016,"Total Grand List","Number",731264063
